"ReceivedAt","AttachmentIndex","FileName","Airline","Profile","PermitNumber","Status","Error"
"03/08/2026 17:59:52","130","OF 5392 IGT1202.docx","GH/IGT - IGT","igt-english-overflight-issued","O/F 08130/S/CHK/2026","CÁCH LY","PERMIT-REVISION-REVIEW: Phép bay O/F 08130/S/CHK/2026 cần người vận hành kiểm tra nên không được tự động ghi vào ATFM."
"03/08/2026 17:59:52","131","OF 5394 HGO.docx","HC/HGO - HGO","hgo-english-overflight-issued","(chưa lấy được)","THẤT BẠI","Không tìm thấy format YAML phù hợp. Các format gần nhất: caav-english-overflight-scheduled=0.53, caav-english-overflight-revision=0.05, caav-english-issued-permit-revision=0.00"
"03/08/2026 17:59:52","132","OF 5414 N1972.docx","Chưa xác định hãng/không phải giấy phép","caav-generic-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","133","OF 5415 T7688NJ.docx","Chưa xác định hãng/không phải giấy phép","caav-generic-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","134","OF 5419  BTN.docx","B3/BTN - BTN","btn-english-overflight-issued","(chưa lấy được)","CÁCH LY","BR-AIRCRAFT-NOT-FOUND: Dòng lịch bay 1 có loại tàu bay không được hỗ trợ: A319-115 OR SUB (đã thử: A319-115, SUB; tổng cộng 1 lỗi nhận diện tàu bay)."
"03/08/2026 17:59:52","135","OF 5420 AZG1922.docx","7L/AZG - AZG","azg-english-overflight-issued","O/F 08135/S/CHK/2026","CÁCH LY","PERMIT-REVISION-REVIEW: Phép bay O/F 08135/S/CHK/2026 cần người vận hành kiểm tra nên không được tự động ghi vào ATFM."
"03/08/2026 17:59:52","136","OF 5421 MFX7632.docx","C6/MFX - MFX","mfx-english-overflight-issued","(chưa lấy được)","CÁCH LY","BR-AIRCRAFT-AMBIGUOUS: Dòng lịch bay 1 có loại tàu bay không xác định duy nhất 763; các mã CRAFT phù hợp: [218, 317] (tổng cộng 1 lỗi nhận diện tàu bay)."
"03/08/2026 17:59:52","137","OF 5425 KXP.docx","WW/KXP - KXP","kxp-english-overflight-scheduled","O/F 08137/S/CHK/2026","CÁCH LY","PERMIT-REVISION-REVIEW: Phép bay O/F 08137/S/CHK/2026 cần người vận hành kiểm tra nên không được tự động ghi vào ATFM."
"03/08/2026 17:59:52","138","OF 5426 T7TJ1.docx","Chưa xác định hãng/không phải giấy phép","caav-generic-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","139","OF 5427 SIN.docx","9A/SIN - SIN","sin-english-overflight-scheduled","(chưa lấy được)","CÁCH LY","BR-AIRCRAFT-NOT-FOUND: Dòng lịch bay 1 có loại tàu bay không được hỗ trợ: B737-400 OR SUB (đã thử: B737-400, SUB; tổng cộng 2 lỗi nhận diện tàu bay)."
