"CorpusFile","Id","SyncJobId","OriginalName","OriginalPath","OriginalError","Checksum"
"4382_quyngoxuan_20260803_090332_email_quarantine_006_LD_2842_IGA.doc","4382","1869","quyngoxuan_20260803_090332_email_quarantine_006_LD_2842_IGA.doc","E:\ATFM-AEROSYNC\VATM-AeroSync\NGAY 31JUL_RENUMBERED_UNUSED_20260803\quyngoxuan_20260803_090332_email_quarantine_006_LD_2842_IGA.doc","Không xác định được mã ICAO của hãng bay từ lịch bay.","c2f4b54bad261f94a5d806d5bd5f4d03134d7704a5935d6d58c7d0605ed8cbfd"
"4381_quyngoxuan_20260731_174857_email_000_LD_2497_VJC.docx","4381","1868","quyngoxuan_20260731_174857_email_000_LD_2497_VJC.docx","E:\ATFM-AEROSYNC\VATM-AeroSync\NGAY 31JUL_RENUMBERED_UNUSED_20260803\quyngoxuan_20260731_174857_email_000_LD_2497_VJC.docx","Không tìm thấy ngày cấp phép bay.","c2b534f9f39885a08a1d2b0919e6fe5740e374b9a0c4aa2776d13e13b50f820f"
"4380_QLB_161_VHULJ.docx","4380","1867","QLB 161 VHULJ.docx","E:\ATFM-AEROSYNC\VATM-AeroSync\NGAY 31JUL_RENUMBERED_UNUSED_20260803\QLB 161 VHULJ.docx","Không tìm thấy format YAML phù hợp. Các format gần nhất: caav-english-overflight-scheduled=0.13, caav-english-issued-permit-revision=0.00, caav-english-landing-revision=0.00","11573a7aeb7a4f8ac9beebbc160ad2eaedbf2c33babbeec3d552ede6945dac31"
"4379_QLB_158.docx","4379","1866","QLB 158.docx","E:\ATFM-AEROSYNC\VATM-AeroSync\NGAY 31JUL_RENUMBERED_UNUSED_20260803\QLB 158.docx","Không tìm thấy format YAML phù hợp. Các format gần nhất: caav-english-overflight-scheduled=0.07, caav-english-issued-permit-revision=0.00, caav-english-landing-revision=0.00","8a73e4185985e10c007129ff5776afc2cc337a26ff8f810c51fcc767463efd71"
"4378_OF_5501_T7BOSS.docx","4378","1865","OF 5501 T7BOSS.docx","E:\ATFM-AEROSYNC\VATM-AeroSync\NGAY 31JUL_RENUMBERED_UNUSED_20260803\OF 5501 T7BOSS.docx","Không xác định được mã ICAO của hãng bay từ lịch bay.","9887f9fc5520bd3c6a3bf71f5f43fafe6869f544cf212d50673b5bedd930d28c"
"4377_OF_5500_QQE.docx","4377","1864","OF 5500 QQE.docx","E:\ATFM-AEROSYNC\VATM-AeroSync\NGAY 31JUL_RENUMBERED_UNUSED_20260803\OF 5500 QQE.docx","BR-ATFM-REFERENCE: Không tìm thấy dữ liệu đối chiếu trong ATFM: M_OPER.OPER_ICAO=POS.","e275dcb7bf9b5d66ce02fc16dbaeca354f5b1981558917295137cc182643f6f4"
"4376_OF_5499_T7Y8998.docx","4376","1863","OF 5499 T7Y8998.docx","E:\ATFM-AEROSYNC\VATM-AeroSync\NGAY 31JUL_RENUMBERED_UNUSED_20260803\OF 5499 T7Y8998.docx","Không xác định được mã ICAO của hãng bay từ lịch bay.","73d0922826d8ebc5c287d6132d4f1a393f0147e512efb7cf7907545ef04fedf4"
"4375_OF_5498_VHOFA.docx","4375","1862","OF 5498 VHOFA.docx","E:\ATFM-AEROSYNC\VATM-AeroSync\NGAY 31JUL_RENUMBERED_UNUSED_20260803\OF 5498 VHOFA.docx","Không xác định được mã ICAO của hãng bay từ lịch bay.","54670757c341fd81f913d13e311b86cf8bc1aac76d004dc64cb453bdf690a87c"
"4372_OF_5496_P4JPB.docx","4372","1859","OF 5496 P4JPB.docx","E:\ATFM-AEROSYNC\VATM-AeroSync\NGAY 31JUL_RENUMBERED_UNUSED_20260803\OF 5496 P4JPB.docx","Không xác định được mã ICAO của hãng bay từ lịch bay.","5ab2383c77307fda91cd6006bf04f06d7f7eb5378f2e0a6747890f1f0f0648f5"
"4370_OF_5489_B16888.docx","4370","1857","OF 5489 B16888.docx","E:\ATFM-AEROSYNC\VATM-AeroSync\NGAY 31JUL_RENUMBERED_UNUSED_20260803\OF 5489 B16888.docx","Không tìm thấy format YAML phù hợp. Các format gần nhất: caav-english-overflight-scheduled=0.53, caav-english-overflight-revision=0.05, caav-english-issued-permit-revision=0.00","dc57032c6e48374959efa3b4a3f45025e5494497ab7151fa7f1d254f22eaa8ea"
